Name_of_Item,Health_Issue,Home_Remedy
Quinine,Malaria,"Mosquito bite prevention, antimalarial drugs (chloroquine, artemisinin-based therapies)"
Antihistamine,Allergy,"Nasal sprays, antihistamines, epinephrine for severe cases"
Levothyroxine,Hypothyroidism,"Take thyroid medication as prescribed, monitor thyroid levels"
Insulin,Diabetes,"Manage diet, exercise, and medication; take insulin if prescribed"
Retinoid,Acne,"Apply creams regularly, maintain skincare routine"
ORS,Dehydration,"Drink oral rehydration solution, increase fluid intake"
Paracetamol,Fever,"Rest, drink fluids, and take fever-reducing medication"
Ginger,Nausea,"Drink ginger tea, eat small light meals"
Aloe Vera,Burns,"Apply aloe vera gel to the affected area"
Tulsi (Holy Basil),Cold & Cough,"Drink tulsi tea, inhale steam"
Garlic,High Blood Pressure,"Add garlic to diet, reduce salt intake"
Turmeric,Inflammation,"Drink turmeric milk, apply turmeric paste"
Peppermint,Headache,"Peppermint oil massage, drink peppermint tea"
Chamomile,Insomnia,"Drink chamomile tea before sleep"
Lemon,Hiccups,"Drink lemon water or suck on a lemon slice"
Carrot,Eye Health,"Eat carrots regularly for vitamin A"
Fenugreek,Cholesterol,"Soak fenugreek seeds overnight and drink in morning"
Ashwagandha,Stress,"Consume ashwagandha powder with warm milk"
Cinnamon,PCOS,"Add cinnamon to diet, improves insulin sensitivity"
Coconut Water,Kidney Stones,"Drink coconut water regularly"
Papaya,Constipation,"Eat ripe papaya to improve digestion"
Neem,Skin Infections,"Apply neem paste on affected skin"
Honey,Sore Throat,"Mix honey in warm water or tea"
Clove,Toothache,"Place clove or clove oil on aching tooth"
Cucumber,Acidity,"Eat cucumber slices, helps in cooling stomach"
Mustard Oil,Joint Pain,"Massage joints with warm mustard oil"